Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
154,0.5462,0.5462,0.5462,0.7364,0.7364,0.7364,0.4767,0.4767,0.4767,0.667,0.667,0.667
155,0.524,0.524,0.524,0.7263,0.7263,0.7263,0.4157,0.4157,0.4157,0.6695,0.6695,0.6695
156,0.3648,0.3648,0.3648,0.745,0.745,0.745,0.397,0.397,0.397,0.6668,0.6668,0.6668
157,0.4702,0.4702,0.4702,0.7499,0.7499,0.7499,0.4271,0.4271,0.4271,0.679,0.679,0.679
158,0.4692,0.4692,0.4692,0.6615,0.6615,0.6615,0.4225,0.4225,0.4225,0.6702,0.6702,0.6702
159,0.5238,0.5238,0.5238,0.6903,0.6903,0.6903,0.5231,0.5231,0.5231,0.6601,0.6601,0.6601
160,0.4202,0.4202,0.4202,0.6929,0.6929,0.6929,0.3991,0.3991,0.3991,0.662,0.662,0.662
161,0.3942,0.3942,0.3942,0.676,0.676,0.676,0.4963,0.4963,0.4963,0.6598,0.6598,0.6598
162,0.4864,0.4864,0.4864,0.7309,0.7309,0.7309,0.5732,0.5732,0.5732,0.6656,0.6656,0.6656
163,0.4633,0.4633,0.4633,0.7656,0.7656,0.7656,0.4357,0.4357,0.4357,0.6658,0.6658,0.6658
164,0.5337,0.5337,0.5337,0.7793,0.7793,0.7793,0.4642,0.4642,0.4642,0.6637,0.6637,0.6637
165,0.4362,0.4362,0.4362,0.7626,0.7626,0.7626,0.3973,0.3973,0.3973,0.6627,0.6627,0.6627
166,0.5366,0.5366,0.5366,0.6198,0.6198,0.6198,0.4322,0.4322,0.4322,0.6768,0.6768,0.6768
167,0.4506,0.4506,0.4506,0.6937,0.6937,0.6937,0.4893,0.4893,0.4893,0.6795,0.6795,0.6795
168,0.5087,0.5087,0.5087,0.6668,0.6668,0.6668,0.388,0.388,0.388,0.6767,0.6767,0.6767
169,0.5404,0.5404,0.5404,0.6484,0.6484,0.6484,0.4193,0.4193,0.4193,0.6718,0.6718,0.6718
170,0.5103,0.5103,0.5103,0.7676,0.7676,0.7676,0.3751,0.3751,0.3751,0.6656,0.6656,0.6656
171,0.4088,0.4088,0.4088,0.731,0.731,0.731,0.5018,0.5018,0.5018,0.6767,0.6767,0.6767
172,0.5157,0.5157,0.5157,0.7296,0.7296,0.7296,0.4232,0.4232,0.4232,0.6762,0.6762,0.6762
