Step,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
166,0.7379,0.7379,0.7379,0.4993,0.4993,0.4993,0.721,0.721,0.721,0.5396,0.5396,0.5396
167,0.7101,0.7101,0.7101,0.5988,0.5988,0.5988,0.6807,0.6807,0.6807,0.5189,0.5189,0.5189
168,0.7351,0.7351,0.7351,0.5232,0.5232,0.5232,0.6849,0.6849,0.6849,0.4293,0.4293,0.4293
169,0.6846,0.6846,0.6846,0.6304,0.6304,0.6304,0.6874,0.6874,0.6874,0.6072,0.6072,0.6072
170,0.7301,0.7301,0.7301,0.6457,0.6457,0.6457,0.6757,0.6757,0.6757,0.5279,0.5279,0.5279
171,0.6645,0.6645,0.6645,0.4935,0.4935,0.4935,0.6797,0.6797,0.6797,0.5134,0.5134,0.5134
172,0.6537,0.6537,0.6537,0.5785,0.5785,0.5785,0.6894,0.6894,0.6894,0.5806,0.5806,0.5806
173,0.718,0.718,0.718,0.6278,0.6278,0.6278,0.7015,0.7015,0.7015,0.5869,0.5869,0.5869
174,0.6829,0.6829,0.6829,0.5497,0.5497,0.5497,0.7064,0.7064,0.7064,0.5132,0.5132,0.5132
175,0.6888,0.6888,0.6888,0.5248,0.5248,0.5248,0.7167,0.7167,0.7167,0.4609,0.4609,0.4609
176,0.6744,0.6744,0.6744,0.5332,0.5332,0.5332,0.7101,0.7101,0.7101,0.5025,0.5025,0.5025
177,0.7345,0.7345,0.7345,0.5815,0.5815,0.5815,0.7128,0.7128,0.7128,0.5133,0.5133,0.5133
178,0.7588,0.7588,0.7588,0.5524,0.5524,0.5524,0.6573,0.6573,0.6573,0.5225,0.5225,0.5225
179,0.7411,0.7411,0.7411,0.6288,0.6288,0.6288,0.6728,0.6728,0.6728,0.5776,0.5776,0.5776
180,0.7655,0.7655,0.7655,0.4923,0.4923,0.4923,0.6611,0.6611,0.6611,0.5917,0.5917,0.5917
181,0.7275,0.7275,0.7275,0.5958,0.5958,0.5958,0.6773,0.6773,0.6773,0.5098,0.5098,0.5098
182,0.7581,0.7581,0.7581,0.5067,0.5067,0.5067,0.6729,0.6729,0.6729,0.4956,0.4956,0.4956
183,0.7483,0.7483,0.7483,0.5375,0.5375,0.5375,0.6829,0.6829,0.6829,0.5612,0.5612,0.5612
184,0.7655,0.7655,0.7655,0.6094,0.6094,0.6094,0.6789,0.6789,0.6789,0.5633,0.5633,0.5633
185,0.7664,0.7664,0.7664,0.52,0.52,0.52,0.6555,0.6555,0.6555,0.585,0.585,0.585
186,0.7669,0.7669,0.7669,0.6071,0.6071,0.6071,0.6466,0.6466,0.6466,0.5065,0.5065,0.5065
187,0.7666,0.7666,0.7666,0.5262,0.5262,0.5262,0.7191,0.7191,0.7191,0.5513,0.5513,0.5513
188,0.7534,0.7534,0.7534,0.6457,0.6457,0.6457,0.6656,0.6656,0.6656,0.6003,0.6003,0.6003
189,0.7595,0.7595,0.7595,0.6108,0.6108,0.6108,0.6986,0.6986,0.6986,0.606,0.606,0.606
190,0.7437,0.7437,0.7437,0.4749,0.4749,0.4749,0.7048,0.7048,0.7048,0.6037,0.6037,0.6037
191,0.7317,0.7317,0.7317,0.5108,0.5108,0.5108,0.6779,0.6779,0.6779,0.5788,0.5788,0.5788
192,0.7581,0.7581,0.7581,0.5405,0.5405,0.5405,0.6712,0.6712,0.6712,0.597,0.597,0.597
193,0.6967,0.6967,0.6967,0.5657,0.5657,0.5657,0.6614,0.6614,0.6614,0.6082,0.6082,0.6082
194,0.6662,0.6662,0.6662,0.4348,0.4348,0.4348,0.7144,0.7144,0.7144,0.5982,0.5982,0.5982
195,0.6744,0.6744,0.6744,0.5247,0.5247,0.5247,0.6017,0.6017,0.6017,0.6471,0.6471,0.6471
196,0.6486,0.6486,0.6486,0.6525,0.6525,0.6525,0.6612,0.6612,0.6612,0.5222,0.5222,0.5222
197,0.6798,0.6798,0.6798,0.4676,0.4676,0.4676,0.7147,0.7147,0.7147,0.6378,0.6378,0.6378
198,0.6303,0.6303,0.6303,0.5596,0.5596,0.5596,0.6119,0.6119,0.6119,0.6003,0.6003,0.6003
199,0.6791,0.6791,0.6791,0.5633,0.5633,0.5633,0.661,0.661,0.661,0.6171,0.6171,0.6171
200,0.6817,0.6817,0.6817,0.5568,0.5568,0.5568,0.696,0.696,0.696,0.5915,0.5915,0.5915
201,0.6758,0.6758,0.6758,0.5305,0.5305,0.5305,0.5946,0.5946,0.5946,0.5431,0.5431,0.5431
202,0.714,0.714,0.714,0.6686,0.6686,0.6686,0.6725,0.6725,0.6725,0.6206,0.6206,0.6206
203,0.6732,0.6732,0.6732,0.6619,0.6619,0.6619,0.6385,0.6385,0.6385,0.5565,0.5565,0.5565
