Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
131,0.6589,0.6589,0.6589,0.748,0.748,0.748,0.6268,0.6268,0.6268,0.5264,0.5264,0.5264
132,0.5701,0.5701,0.5701,0.7025,0.7025,0.7025,0.5923,0.5923,0.5923,0.6569,0.6569,0.6569
133,0.6248,0.6248,0.6248,0.6771,0.6771,0.6771,0.6324,0.6324,0.6324,0.5886,0.5886,0.5886
134,0.5761,0.5761,0.5761,0.7512,0.7512,0.7512,0.6456,0.6456,0.6456,0.4833,0.4833,0.4833
135,0.5896,0.5896,0.5896,0.726,0.726,0.726,0.662,0.662,0.662,0.4826,0.4826,0.4826
136,0.6075,0.6075,0.6075,0.748,0.748,0.748,0.6983,0.6983,0.6983,0.5138,0.5138,0.5138
137,0.5977,0.5977,0.5977,0.7197,0.7197,0.7197,0.7101,0.7101,0.7101,0.6099,0.6099,0.6099
138,0.6219,0.6219,0.6219,0.7389,0.7389,0.7389,0.6408,0.6408,0.6408,0.5323,0.5323,0.5323
139,0.6055,0.6055,0.6055,0.7489,0.7489,0.7489,0.6054,0.6054,0.6054,0.6404,0.6404,0.6404
140,0.5452,0.5452,0.5452,0.7535,0.7535,0.7535,0.5662,0.5662,0.5662,0.5934,0.5934,0.5934
141,0.656,0.656,0.656,0.7546,0.7546,0.7546,0.6174,0.6174,0.6174,0.6215,0.6215,0.6215
142,0.5085,0.5085,0.5085,0.755,0.755,0.755,0.588,0.588,0.588,0.6412,0.6412,0.6412
143,0.5518,0.5518,0.5518,0.7538,0.7538,0.7538,0.6496,0.6496,0.6496,0.6628,0.6628,0.6628
144,0.5923,0.5923,0.5923,0.753,0.753,0.753,0.6503,0.6503,0.6503,0.5541,0.5541,0.5541
145,0.5617,0.5617,0.5617,0.7077,0.7077,0.7077,0.6316,0.6316,0.6316,0.4948,0.4948,0.4948
146,0.6231,0.6231,0.6231,0.6942,0.6942,0.6942,0.5739,0.5739,0.5739,0.5395,0.5395,0.5395
147,0.6359,0.6359,0.6359,0.7677,0.7677,0.7677,0.6668,0.6668,0.6668,0.629,0.629,0.629
148,0.6508,0.6508,0.6508,0.7658,0.7658,0.7658,0.7089,0.7089,0.7089,0.5906,0.5906,0.5906
149,0.643,0.643,0.643,0.6967,0.6967,0.6967,0.6982,0.6982,0.6982,0.6497,0.6497,0.6497
150,0.5999,0.5999,0.5999,0.6265,0.6265,0.6265,0.6774,0.6774,0.6774,0.6267,0.6267,0.6267
151,0.5998,0.5998,0.5998,0.7585,0.7585,0.7585,0.6708,0.6708,0.6708,0.584,0.584,0.584
152,0.5972,0.5972,0.5972,0.7741,0.7741,0.7741,0.6832,0.6832,0.6832,0.5902,0.5902,0.5902
153,0.5148,0.5148,0.5148,0.7646,0.7646,0.7646,0.6743,0.6743,0.6743,0.6398,0.6398,0.6398
154,0.6212,0.6212,0.6212,0.7538,0.7538,0.7538,0.6897,0.6897,0.6897,0.6599,0.6599,0.6599
155,0.5602,0.5602,0.5602,0.6382,0.6382,0.6382,0.6945,0.6945,0.6945,0.6056,0.6056,0.6056
